"t","u","wt1","wt2","wt3","r","y","em_x","em_y",
0,-0.13614,0.90739,-0.041592,18.3572,-1.7318,-1.0511,0,0,
0.2,-0.13622,0.90739,-0.041592,18.3572,-1.7322,-1.0511,0.0012878,-0.015055,
0.4,-0.13633,0.90739,-0.041592,18.3572,-1.7328,-1.0511,0.0040642,-0.032712,
0.6,-0.13647,0.90739,-0.041592,18.3572,-1.7335,-1.0511,0.0083261,-0.052965,
0.8,-0.13665,0.90739,-0.041592,18.3572,-1.7344,-1.0512,0.014068,-0.075806,
1,-0.13687,0.90739,-0.041592,18.3572,-1.7356,-1.0512,0.021284,-0.10122,
1.2,-0.13712,0.90739,-0.041592,18.3572,-1.7369,-1.0513,0.029963,-0.1292,
1.4,-0.1374,0.90739,-0.041592,18.3572,-1.7384,-1.0514,0.040095,-0.15972,
1.6,-0.13771,0.90739,-0.041592,18.3572,-1.74,-1.0515,0.051665,-0.19276,
1.8,-0.13804,0.90739,-0.041592,18.3572,-1.7419,-1.0517,0.064659,-0.2283,
2,-0.13841,0.90739,-0.041592,18.3572,-1.7439,-1.0519,0.079058,-0.26631,
2.2,-0.1388,0.90739,-0.041592,18.3572,-1.7461,-1.0521,0.094843,-0.30676,
2.4,-0.13921,0.90739,-0.041592,18.3572,-1.7485,-1.0524,0.11199,-0.34961,
2.6,-0.13965,0.90739,-0.041592,18.3572,-1.7511,-1.0528,0.13048,-0.39484,
2.8,-0.14011,0.90739,-0.041592,18.3572,-1.7538,-1.0532,0.15029,-0.44241,
3,-0.14059,0.90739,-0.041592,18.3572,-1.7567,-1.0537,0.17138,-0.49228,
3.2,-0.14108,0.90739,-0.041592,18.3572,-1.7597,-1.0543,0.19373,-0.5444,
3.4,-0.1416,0.90739,-0.041592,18.3572,-1.7629,-1.0549,0.21731,-0.59875,
3.6,-0.14212,0.90739,-0.041592,18.3572,-1.7663,-1.0556,0.24209,-0.65527,
3.8,-0.14267,0.90739,-0.041592,18.3572,-1.7698,-1.0564,0.26803,-0.71392,
4,-0.14322,0.90739,-0.041592,18.3572,-1.7734,-1.0573,0.2951,-0.77466,
4.2,-0.14379,0.90739,-0.041592,18.3572,-1.7772,-1.0583,0.32326,-0.83744,
4.4,-0.14436,0.90739,-0.041592,18.3572,-1.7811,-1.0593,0.35248,-0.90222,
4.6,-0.14495,0.90739,-0.041592,18.3572,-1.7852,-1.0604,0.38272,-0.96895,
4.8,-0.14554,0.90739,-0.041592,18.3572,-1.7894,-1.0617,0.41394,-1.0376,
