"t","u","wt1","wt2","wt3","r","y","em_x","em_y",
0,0.7854,2.0096,0.085115,-1.5697,1.3048,5.838,0,0,
0.2,0.7854,2.0096,0.085115,-1.5697,1.3051,-0.44519,0.0033173,0.0024458,
0.4,0.7854,2.0096,0.085115,-1.5697,1.3056,-0.44512,0.0093401,0.0036008,
0.6,0.7854,2.0096,0.085115,-1.5697,1.3065,-0.44491,0.018063,0.0034685,
0.8,0.7854,2.0096,0.085115,-1.5697,1.3076,-0.44444,0.029479,0.0020559,
1,0.7854,2.0096,0.085115,-1.5697,1.3091,-0.44363,0.043578,-0.00062549,
1.2,0.7854,2.0096,0.085115,-1.5697,1.3108,-0.44238,0.060347,-0.0045588,
1.4,0.7854,2.0096,0.085115,-1.5697,1.3128,-0.44059,0.079774,-0.0097208,
1.6,0.7854,2.0096,0.085115,-1.5697,1.3151,-0.43817,0.10185,-0.016081,
1.8,0.7854,2.0096,0.085115,-1.5697,1.3177,-0.43504,0.12655,-0.023601,
2,0.7854,2.0096,0.085115,-1.5697,1.3205,-0.43111,0.15386,-0.032232,
2.2,0.7854,2.0096,0.085115,-1.5697,1.3237,-0.4263,0.18379,-0.04192,
2.4,0.7854,2.0096,0.085115,-1.5697,1.3271,-0.42054,0.2163,-0.052597,
2.6,0.7854,2.0096,0.085115,-1.5697,1.3308,-0.41375,0.25139,-0.064187,
2.8,0.7854,2.0096,0.085115,-1.5697,1.3347,-0.40588,0.28904,-0.076602,
3,0.7854,2.0096,0.085115,-1.5697,1.339,-0.39685,0.32925,-0.089746,
3.2,0.7854,2.0096,0.085115,-1.5697,1.3435,-0.38662,0.37201,-0.10351,
3.4,0.7854,2.0096,0.085115,-1.5697,1.3482,-0.37513,0.4173,-0.11777,
3.6,0.7854,2.0096,0.085115,-1.5697,1.3532,-0.36233,0.46511,-0.1324,
3.8,0.7854,2.0096,0.085115,-1.5697,1.3585,-0.34819,0.51544,-0.14725,
4,0.7854,2.0096,0.085115,-1.5697,1.364,-0.33267,0.56826,-0.16218,
4.2,0.7854,2.0096,0.085115,-1.5697,1.3697,-0.31575,0.62357,-0.17702,
4.4,0.7854,2.0096,0.085115,-1.5697,1.3757,-0.29739,0.68133,-0.19159,
4.6,0.7854,2.0096,0.085115,-1.5697,1.3819,-0.27758,0.74153,-0.20572,
4.8,0.7854,2.0096,0.085115,-1.5697,1.3883,-0.2563,0.80414,-0.21922,
5,0.7854,2.0096,0.085115,-1.5697,1.3949,-0.23355,0.86912,-0.23188,
5.2,0.7854,2.0096,0.085115,-1.5697,1.4017,-0.20931,0.93642,-0.2435,
5.4,0.7854,2.0096,0.085115,-1.5697,1.4088,-0.18359,1.006,-0.25387,
5.6,0.7854,2.0096,0.085115,-1.5697,1.416,-0.15638,1.0778,-0.26277,
5.8,0.7854,2.0096,0.085115,-1.5697,1.4233,-0.12771,1.1517,-0.26997,
6,0.7854,2.0096,0.085115,-1.5697,1.4308,-0.097563,1.2276,-0.27525,
6.2,0.7854,2.0096,0.085115,-1.5697,1.4385,-0.065967,1.3055,-0.27838,
6.4,0.7854,2.0096,0.085115,-1.5697,1.4463,-0.032934,1.3852,-0.27914,
6.6,0.7854,2.0096,0.085115,-1.5697,1.4542,0.0015172,1.4666,-0.27731,
6.8,0.7854,2.0096,0.085115,-1.5697,1.4622,0.037366,1.5496,-0.27264,
7,0.7854,2.0096,0.085115,-1.5697,1.4702,0.074588,1.6339,-0.26494,
7.2,0.7854,2.0096,0.085115,-1.5697,1.4783,0.11316,1.7194,-0.25399,
7.4,0.7854,2.0096,0.085115,-1.5697,1.4864,0.15305,1.806,-0.23958,
7.6,0.7854,2.0096,0.085115,-1.5697,1.4945,0.19424,1.8933,-0.22152,
7.8,0.7854,2.0096,0.085115,-1.5697,1.5025,0.23669,1.9812,-0.19963,
8,0.7854,2.0096,0.085115,-1.5697,1.5105,0.28038,2.0693,-0.17374,
8.2,0.7854,2.0096,0.085115,-1.5697,1.5184,0.32526,2.1576,-0.1437,
8.4,0.7854,2.0096,0.085115,-1.5697,1.5262,0.37132,2.2455,-0.10939,
8.6,0.7854,2.0096,0.085115,-1.5697,1.5338,0.41851,2.333,-0.070675,
