"t","u","wt1","wt2","wt3","wt4","wt5","wt6","wt7","wt8","wt9","r","y","em_x","em_y",
0,-0.38926,1,1,1,-1,-1,-1,0.01,0.001,1,0.60141,0.98643,0,0,
0.2,-0.0051466,1,1,1,-1,-1,-1,0.01,0.001,1,0.60088,0.98643,0.0072682,0.011339,
0.4,-0.0056424,1,1,1,-1,-1,-1,0.01,0.001,1,0.60025,0.98641,0.01619,0.025179,
0.6,-0.0061493,1,1,1,-1,-1,-1,0.01,0.001,1,0.5995,0.9864,0.026763,0.041513,
0.8,-0.0066578,1,1,1,-1,-1,-1,0.01,0.001,1,0.59864,0.98639,0.03898,0.060335,
1,-0.0071677,1,1,1,-1,-1,-1,0.01,0.001,1,0.59767,0.98638,0.052835,0.081631,
1.2,-0.0076789,1,1,1,-1,-1,-1,0.01,0.001,1,0.59658,0.98637,0.068317,0.10539,
1.4,-0.0081914,1,1,1,-1,-1,-1,0.01,0.001,1,0.59539,0.98635,0.085415,0.13159,
1.6,-0.0087051,1,1,1,-1,-1,-1,0.01,0.001,1,0.59409,0.98634,0.10411,0.1602,
1.8,-0.0092197,1,1,1,-1,-1,-1,0.01,0.001,1,0.59268,0.98633,0.1244,0.19122,
2,-0.0097352,1,1,1,-1,-1,-1,0.01,0.001,1,0.59116,0.98631,0.14625,0.2246,
2.2,-0.010251,1,1,1,-1,-1,-1,0.01,0.001,1,0.58954,0.9863,0.16965,0.26033,
2.4,-0.010768,1,1,1,-1,-1,-1,0.01,0.001,1,0.58782,0.98628,0.19458,0.29836,
2.6,-0.011285,1,1,1,-1,-1,-1,0.01,0.001,1,0.58599,0.98626,0.22102,0.33867,
2.8,-0.011802,1,1,1,-1,-1,-1,0.01,0.001,1,0.58406,0.98623,0.24893,0.38121,
3,-0.012319,1,1,1,-1,-1,-1,0.01,0.001,1,0.58203,0.98619,0.2783,0.42595,
3.2,-0.012836,1,1,1,-1,-1,-1,0.01,0.001,1,0.57991,0.98615,0.3091,0.47284,
3.4,-0.013352,1,1,1,-1,-1,-1,0.01,0.001,1,0.57769,0.9861,0.3413,0.52185,
3.6,-0.013868,1,1,1,-1,-1,-1,0.01,0.001,1,0.57538,0.98604,0.37488,0.57293,
3.8,-0.014382,1,1,1,-1,-1,-1,0.01,0.001,1,0.57297,0.98597,0.4098,0.62603,
4,-0.014896,1,1,1,-1,-1,-1,0.01,0.001,1,0.57048,0.98588,0.44603,0.68111,
4.2,-0.015407,1,1,1,-1,-1,-1,0.01,0.001,1,0.5679,0.98578,0.48354,0.73812,
4.4,-0.015917,1,1,1,-1,-1,-1,0.01,0.001,1,0.56524,0.98565,0.52231,0.797,
4.6,-0.016424,1,1,1,-1,-1,-1,0.01,0.001,1,0.56249,0.9855,0.56229,0.85772,
4.8,-0.016905,1,1,1,-1,-1,-1,0.01,0.001,1,0.55967,0.98532,0.60347,0.92021,
5,-0.016979,1,1,1,-1,-1,-1,0.01,0.001,1,0.55676,0.98512,0.64581,0.98443,
5.2,-0.017049,1,1,1,-1,-1,-1,0.01,0.001,1,0.55379,0.98488,0.68928,1.0503,
5.4,-0.017114,1,1,1,-1,-1,-1,0.01,0.001,1,0.55074,0.9846,0.73385,1.1178,
5.6,-0.017176,1,1,1,-1,-1,-1,0.01,0.001,1,0.54762,0.98429,0.77948,1.1869,
5.8,-0.017234,1,1,1,-1,-1,-1,0.01,0.001,1,0.54443,0.98395,0.82616,1.2575,
6,-0.017288,1,1,1,-1,-1,-1,0.01,0.001,1,0.54118,0.98356,0.87384,1.3296,
6.2,-0.017338,1,1,1,-1,-1,-1,0.01,0.001,1,0.53787,0.98313,0.9225,1.4031,
6.4,-0.017384,1,1,1,-1,-1,-1,0.01,0.001,1,0.53449,0.98266,0.97212,1.478,
6.6,-0.017426,1,1,1,-1,-1,-1,0.01,0.001,1,0.53106,0.98215,1.0227,1.5542,
6.8,-0.017465,1,1,1,-1,-1,-1,0.01,0.001,1,0.52758,0.98159,1.0741,1.6316,
7,-0.017499,1,1,1,-1,-1,-1,0.01,0.001,1,0.52404,0.98098,1.1264,1.7103,
7.2,-0.017532,1,1,1,-1,-1,-1,0.01,0.001,1,0.52046,0.98033,1.1796,1.7901,
7.4,-0.017559,1,1,1,-1,-1,-1,0.01,0.001,1,0.51682,0.97962,1.2335,1.8711,
7.6,-0.017582,1,1,1,-1,-1,-1,0.01,0.001,1,0.51315,0.97887,1.2883,1.9531,
7.8,-0.017603,1,1,1,-1,-1,-1,0.01,0.001,1,0.50942,0.97807,1.3438,2.0362,
8,-0.017621,1,1,1,-1,-1,-1,0.01,0.001,1,0.50566,0.97721,1.4001,2.1202,
8.2,-0.017636,1,1,1,-1,-1,-1,0.01,0.001,1,0.50186,0.9763,1.4572,2.2052,
8.4,-0.017647,1,1,1,-1,-1,-1,0.01,0.001,1,0.49803,0.97534,1.5149,2.2911,
8.6,-0.017654,1,1,1,-1,-1,-1,0.01,0.001,1,0.49416,0.97433,1.5733,2.3778,
8.8,-0.017661,1,1,1,-1,-1,-1,0.01,0.001,1,0.49027,0.97326,1.6324,2.4653,
9,-0.017663,1,1,1,-1,-1,-1,0.01,0.001,1,0.48634,0.97214,1.6921,2.5536,
9.2,-0.017662,1,1,1,-1,-1,-1,0.01,0.001,1,0.48239,0.97096,1.7525,2.6427,
9.4,-0.017661,1,1,1,-1,-1,-1,0.01,0.001,1,0.47841,0.96973,1.8135,2.7324,
9.6,-0.017656,1,1,1,-1,-1,-1,0.01,0.001,1,0.47441,0.96845,1.8751,2.8228,
9.8,-0.017648,1,1,1,-1,-1,-1,0.01,0.001,1,0.47038,0.96711,1.9373,2.9139,
10,-0.017639,1,1,1,-1,-1,-1,0.01,0.001,1,0.46634,0.96571,2,3.0055,
10.2,-0.017626,1,1,1,-1,-1,-1,0.01,0.001,1,0.46229,0.96426,2.0633,3.0977,
10.4,-0.017614,1,1,1,-1,-1,-1,0.01,0.001,1,0.45822,0.96276,2.1272,3.1904,
10.6,-0.017598,1,1,1,-1,-1,-1,0.01,0.001,1,0.45413,0.9612,2.1915,3.2836,
10.8,-0.017581,1,1,1,-1,-1,-1,0.01,0.001,1,0.45004,0.95959,2.2564,3.3772,
11,-0.017563,1,1,1,-1,-1,-1,0.01,0.001,1,0.44593,0.95793,2.3218,3.4713,
11.2,-0.017542,1,1,1,-1,-1,-1,0.01,0.001,1,0.44182,0.95621,2.3877,3.5658,
11.4,-0.017518,1,1,1,-1,-1,-1,0.01,0.001,1,0.4377,0.95444,2.4541,3.6606,
11.6,-0.017497,1,1,1,-1,-1,-1,0.01,0.001,1,0.43357,0.95263,2.521,3.7559,
11.8,-0.017472,1,1,1,-1,-1,-1,0.01,0.001,1,0.42945,0.95076,2.5883,3.8514,
12,-0.017446,1,1,1,-1,-1,-1,0.01,0.001,1,0.42532,0.94884,2.6561,3.9472,
12.2,-0.017418,1,1,1,-1,-1,-1,0.01,0.001,1,0.42119,0.94687,2.7243,4.0433,
12.4,-0.017391,1,1,1,-1,-1,-1,0.01,0.001,1,0.41706,0.94486,2.793,4.1397,
12.6,-0.017362,1,1,1,-1,-1,-1,0.01,0.001,1,0.41293,0.94279,2.8621,4.2363,
12.8,-0.017331,1,1,1,-1,-1,-1,0.01,0.001,1,0.40881,0.94068,2.9317,4.3331,
13,-0.0173,1,1,1,-1,-1,-1,0.01,0.001,1,0.4047,0.93853,3.0016,4.4301,
13.2,-0.017269,1,1,1,-1,-1,-1,0.01,0.001,1,0.40058,0.93633,3.072,4.5273,
13.4,-0.017237,1,1,1,-1,-1,-1,0.01,0.001,1,0.39648,0.93409,3.1428,4.6246,
13.6,-0.017206,1,1,1,-1,-1,-1,0.01,0.001,1,0.39238,0.9318,3.214,4.7221,
13.8,-0.017166,1,1,1,-1,-1,-1,0.01,0.001,1,0.3883,0.92948,3.2856,4.8196,
14,-0.017137,1,1,1,-1,-1,-1,0.01,0.001,1,0.38423,0.92711,3.3576,4.9173,
14.2,-0.017099,1,1,1,-1,-1,-1,0.01,0.001,1,0.38017,0.9247,3.43,5.0151,
14.4,-0.017065,1,1,1,-1,-1,-1,0.01,0.001,1,0.37612,0.92226,3.5027,5.1129,
14.6,-0.01703,1,1,1,-1,-1,-1,0.01,0.001,1,0.37208,0.91977,3.5759,5.2108,
14.8,-0.016994,1,1,1,-1,-1,-1,0.01,0.001,1,0.36806,0.91725,3.6494,5.3087,
15,-0.016954,1,1,1,-1,-1,-1,0.01,0.001,1,0.36406,0.9147,3.7233,5.4066,
15.2,-0.016919,1,1,1,-1,-1,-1,0.01,0.001,1,0.36007,0.91211,3.7976,5.5045,
15.4,-0.016884,1,1,1,-1,-1,-1,0.01,0.001,1,0.3561,0.90949,3.8722,5.6025,
15.6,-0.016843,1,1,1,-1,-1,-1,0.01,0.001,1,0.35215,0.90683,3.9472,5.7004,
15.8,-0.016807,1,1,1,-1,-1,-1,0.01,0.001,1,0.34821,0.90414,4.0225,5.7983,
16,-0.016767,1,1,1,-1,-1,-1,0.01,0.001,1,0.3443,0.90143,4.0982,5.8962,
16.2,-0.01673,1,1,1,-1,-1,-1,0.01,0.001,1,0.34041,0.89868,4.1743,5.994,
16.4,-0.016693,1,1,1,-1,-1,-1,0.01,0.001,1,0.33653,0.89591,4.2507,6.0918,
16.6,-0.016651,1,1,1,-1,-1,-1,0.01,0.001,1,0.33269,0.89311,4.3274,6.1895,
16.8,-0.016614,1,1,1,-1,-1,-1,0.01,0.001,1,0.32886,0.89028,4.4045,6.2871,
17,-0.016573,1,1,1,-1,-1,-1,0.01,0.001,1,0.32506,0.88743,4.482,6.3847,
17.2,-0.016533,1,1,1,-1,-1,-1,0.01,0.001,1,0.32128,0.88455,4.5598,6.4821,
17.4,-0.016498,1,1,1,-1,-1,-1,0.01,0.001,1,0.31752,0.88165,4.6379,6.5794,
17.6,-0.016459,1,1,1,-1,-1,-1,0.01,0.001,1,0.31379,0.87873,4.7163,6.6767,
17.8,-0.016416,1,1,1,-1,-1,-1,0.01,0.001,1,0.31009,0.87578,4.7951,6.7738,
18,-0.016378,1,1,1,-1,-1,-1,0.01,0.001,1,0.30641,0.87282,4.8742,6.8708,
18.2,-0.016338,1,1,1,-1,-1,-1,0.01,0.001,1,0.30276,0.86984,4.9537,6.9676,
18.4,-0.016296,1,1,1,-1,-1,-1,0.01,0.001,1,0.29914,0.86683,5.0334,7.0643,
18.6,-0.016259,1,1,1,-1,-1,-1,0.01,0.001,1,0.29554,0.86381,5.1135,7.1609,
18.8,-0.016219,1,1,1,-1,-1,-1,0.01,0.001,1,0.29197,0.86078,5.194,7.2573,
19,-0.016178,1,1,1,-1,-1,-1,0.01,0.001,1,0.28844,0.85772,5.2747,7.3536,
19.2,-0.01614,1,1,1,-1,-1,-1,0.01,0.001,1,0.28492,0.85466,5.3558,7.4497,
19.4,-0.016097,1,1,1,-1,-1,-1,0.01,0.001,1,0.28145,0.85157,5.4371,7.5456,
19.6,-0.016061,1,1,1,-1,-1,-1,0.01,0.001,1,0.27799,0.84848,5.5188,7.6414,
19.8,-0.016015,1,1,1,-1,-1,-1,0.01,0.0010059,1,0.27458,0.84537,5.6008,7.737,
20,-0.016038,1,1,1,-1,-1,-1,0.010001,0.0010116,1,0.27119,0.84225,5.6831,7.8323,
20.2,-0.016053,1,1,1,-1,-1,-1,0.010001,0.0010171,1,0.26783,0.83911,5.7658,7.9275,
20.4,-0.016069,1,1,1,-1,-1,-1,0.010001,0.0010223,1,0.2645,0.83597,5.8487,8.0225,
20.6,-0.01608,1,1,1,-1,-1,-1,0.010001,0.0010272,1,0.26121,0.83281,5.9319,8.1174,
20.8,-0.016083,1,1,1,-1,-1,-1,0.010002,0.001031,1,0.25795,0.82964,6.0155,8.212,
21,-0.016081,1,1,1,-1,-1,-1,0.010002,0.0010369,1,0.25471,0.82647,6.0993,8.3064,
21.2,-0.016093,1,1,1,-1,-1,-1,0.010002,0.0010425,1,0.25152,0.82327,6.1835,8.4006,
21.4,-0.016105,1,1,1,-1,-1,-1,0.010003,0.0010478,1,0.24836,0.82007,6.268,8.4945,
21.6,-0.016114,1,1,1,-1,-1,-1,0.010003,0.0010526,1,0.24522,0.81686,6.3527,8.5883,
21.8,-0.016116,1,1,1,-1,-1,-1,0.010003,0.0010553,1,0.24213,0.81364,6.4378,8.6819,
22,-0.016098,1,1,1,-1,-1,-1,0.010003,0.0010582,1,0.23906,0.8104,6.5231,8.7752,
22.2,-0.016076,1,1,1,-1,-1,-1,0.010003,0.0010613,1,0.23604,0.80716,6.6088,8.8683,
22.4,-0.016061,1,1,1,-1,-1,-1,0.010003,0.0010646,1,0.23305,0.8039,6.6947,8.9611,
22.6,-0.016051,1,1,1,-1,-1,-1,0.010004,0.0010683,1,0.23008,0.80064,6.781,9.0537,
