"t","u","wt1","wt2","wt3","r","y","em_x","em_y",
0,0.28411,0.016946,0.0019041,2.0031,-2.6456,-2.7862,0,0,
0.2,0.0027464,0.016946,0.0019041,2.0031,-2.6457,-2.7862,0.019674,0.0097098,
0.4,0.0030866,0.016946,0.0019041,2.0031,-2.6458,-2.7862,0.036538,0.018376,
0.6,0.0034381,0.016946,0.0019041,2.0031,-2.6458,-2.7861,0.050598,0.026002,
0.8,0.00379,0.016946,0.0019041,2.0031,-2.6457,-2.7861,0.061862,0.03259,
1,0.0041424,0.016946,0.0019041,2.0031,-2.6456,-2.7861,0.070344,0.038145,
1.2,0.004495,0.016946,0.0019041,2.0031,-2.6455,-2.7861,0.076062,0.042673,
1.4,0.0048479,0.016946,0.0019041,2.0031,-2.6453,-2.7861,0.079034,0.046182,
1.6,0.0052009,0.016946,0.0019041,2.0031,-2.6451,-2.7861,0.079285,0.048681,
1.8,0.005554,0.016946,0.0019041,2.0031,-2.6449,-2.7861,0.076842,0.05018,
2,0.0059069,0.016946,0.0019041,2.0031,-2.6446,-2.7861,0.071735,0.05069,
2.2,0.0062597,0.016946,0.0019041,2.0031,-2.6443,-2.7861,0.063998,0.050222,
2.4,0.006612,0.016946,0.0019041,2.0031,-2.6439,-2.7861,0.053667,0.048791,
2.6,0.0069639,0.016946,0.0019041,2.0031,-2.6435,-2.7861,0.04078,0.046411,
2.8,0.0073151,0.016946,0.0019041,2.0031,-2.6431,-2.7861,0.025378,0.043097,
3,0.0076655,0.016946,0.0019041,2.0031,-2.6426,-2.786,0.0075067,0.038866,
3.2,0.0080148,0.016946,0.0019041,2.0031,-2.6421,-2.786,-0.01279,0.033733,
3.4,0.0083629,0.016946,0.0019041,2.0031,-2.6415,-2.786,-0.035463,0.027716,
3.6,0.0087096,0.016946,0.0019041,2.0031,-2.6409,-2.786,-0.060463,0.020835,
3.8,0.0090546,0.016946,0.0019041,2.0031,-2.6403,-2.786,-0.08774,0.013106,
4,0.0093976,0.016946,0.0019041,2.0031,-2.6397,-2.7859,-0.11724,0.0045492,
4.2,0.0097387,0.016946,0.0019041,2.0031,-2.639,-2.7859,-0.14891,-0.004816,
4.4,0.010077,0.016946,0.0019041,2.0031,-2.6383,-2.7858,-0.1827,-0.01497,
4.6,0.010413,0.016946,0.0019041,2.0031,-2.6375,-2.7858,-0.21855,-0.025893,
4.8,0.010747,0.016946,0.0019041,2.0031,-2.6367,-2.7857,-0.2564,-0.037566,
5,0.011077,0.016946,0.0019041,2.0031,-2.6359,-2.7856,-0.2962,-0.049968,
5.2,0.011404,0.016946,0.0019041,2.0031,-2.6351,-2.7855,-0.3379,-0.063081,
5.4,0.011727,0.016946,0.0019041,2.0031,-2.6343,-2.7854,-0.38142,-0.076883,
5.6,0.012046,0.016946,0.0019041,2.0031,-2.6334,-2.7853,-0.42673,-0.091356,
5.8,0.012362,0.016946,0.0019041,2.0031,-2.6325,-2.7851,-0.47376,-0.10648,
6,0.012672,0.016946,0.0019041,2.0031,-2.6315,-2.785,-0.52246,-0.12224,
6.2,0.012979,0.016946,0.0019041,2.0031,-2.6306,-2.7848,-0.57276,-0.13861,
6.4,0.013281,0.016946,0.0019041,2.0031,-2.6296,-2.7846,-0.62462,-0.15558,
6.6,0.013578,0.016946,0.0019041,2.0031,-2.6286,-2.7843,-0.67798,-0.17312,
6.8,0.013869,0.016946,0.0019041,2.0031,-2.6276,-2.784,-0.73279,-0.19123,
7,0.014155,0.016946,0.0019041,2.0031,-2.6266,-2.7837,-0.78899,-0.20988,
7.2,0.014446,0.016946,0.0019041,2.0031,-2.6255,-2.7834,-0.84653,-0.22907,

