"t","u","r","y","em_x","em_y",
0,-0.093379,-1.6807,-1.1619,0,0,
0.2,-0.093184,-1.6796,-1.1619,-0.012836,-0.017588,
0.4,-0.093015,-1.6787,-1.1619,-0.024481,-0.037927,
0.6,-0.092871,-1.6779,-1.1619,-0.034936,-0.061011,
0.8,-0.09275,-1.6772,-1.1619,-0.044205,-0.086831,
1,-0.092649,-1.6767,-1.162,-0.052296,-0.11537,
1.2,-0.092563,-1.6764,-1.1621,-0.059216,-0.14662,
1.4,-0.09249,-1.6762,-1.1624,-0.064975,-0.18056,
1.6,-0.092422,-1.6761,-1.1627,-0.069586,-0.21717,
1.8,-0.092355,-1.6762,-1.1631,-0.073065,-0.25641,
2,-0.092282,-1.6764,-1.1638,-0.07543,-0.29827,
2.2,-0.092197,-1.6768,-1.1646,-0.076705,-0.34272,
2.4,-0.092091,-1.6773,-1.1657,-0.076914,-0.38972,
2.6,-0.091957,-1.6779,-1.167,-0.076089,-0.43924,
2.8,-0.091787,-1.6787,-1.1687,-0.074262,-0.49125,
3,-0.091572,-1.6795,-1.1708,-0.071475,-0.54572,
3.2,-0.091303,-1.6805,-1.1733,-0.06777,-0.6026,
3.4,-0.090973,-1.6816,-1.1762,-0.063197,-0.66188,
3.6,-0.090571,-1.6829,-1.1797,-0.057811,-0.7235,
3.8,-0.09009,-1.6842,-1.1837,-0.051672,-0.78744,
4,-0.08952,-1.6856,-1.1882,-0.044846,-0.85366,
4.2,-0.088854,-1.6871,-1.1934,-0.037405,-0.92213,
4.4,-0.088084,-1.6886,-1.1993,-0.029427,-0.99282,
4.6,-0.087204,-1.6903,-1.2058,-0.020995,-1.0657,
4.8,-0.086206,-1.692,-1.213,-0.012196,-1.1407,
5,-0.085085,-1.6937,-1.221,-0.003124,-1.2179,
5.2,-0.083836,-1.6955,-1.2297,0.0061225,-1.2971,
5.4,-0.082457,-1.6973,-1.2392,0.015441,-1.3784,
5.6,-0.080943,-1.6992,-1.2495,0.024727,-1.4617,
5.8,-0.079295,-1.701,-1.2605,0.033871,-1.547,
6,-0.077512,-1.7028,-1.2722,0.042761,-1.6342,
6.2,-0.075594,-1.7047,-1.2847,0.051286,-1.7234,
6.4,-0.073545,-1.7065,-1.2979,0.059332,-1.8144,
6.6,-0.071367,-1.7082,-1.3117,0.066787,-1.9073,
6.8,-0.069067,-1.7099,-1.3262,0.07354,-2.0019,
7,-0.066649,-1.7116,-1.3413,0.079482,-2.0984,
7.2,-0.064121,-1.7132,-1.3569,0.084508,-2.1965,
7.4,-0.061491,-1.7147,-1.373,0.088515,-2.2962,
7.6,-0.058767,-1.7161,-1.3896,0.091408,-2.3975,
7.8,-0.055959,-1.7173,-1.4065,0.093097,-2.5004,
