"t","u","r","y","em_x","em_y",
0,0.036036,0.74915,0.56897,0,0,
0.2,0.035786,0.7479,0.56897,0.025501,0.040766,
0.4,0.035547,0.7467,0.56897,0.053527,0.083148,
0.6,0.035318,0.74556,0.56897,0.084073,0.12714,
0.8,0.0351,0.74447,0.56897,0.11713,0.17274,
1,0.034891,0.74344,0.56898,0.15269,0.21994,
1.2,0.034691,0.74246,0.569,0.19073,0.26873,
1.4,0.034499,0.74153,0.56903,0.23124,0.31909,
1.6,0.034314,0.74065,0.56908,0.2742,0.37102,
1.8,0.034136,0.73982,0.56914,0.31957,0.4245,
2,0.033963,0.73905,0.56923,0.36734,0.47951,
2.2,0.033795,0.73832,0.56935,0.41747,0.53604,
2.4,0.03363,0.73765,0.5695,0.46992,0.59407,
2.6,0.033466,0.73702,0.56969,0.52467,0.65356,
2.8,0.033304,0.73644,0.56992,0.58168,0.71452,
3,0.03314,0.7359,0.5702,0.64089,0.7769,
3.2,0.032975,0.73541,0.57054,0.70228,0.84069,
3.4,0.032806,0.73496,0.57093,0.7658,0.90586,
3.6,0.032633,0.73456,0.57139,0.83139,0.97239,
3.8,0.032454,0.73419,0.57192,0.89901,1.0403,
4,0.032267,0.73387,0.57253,0.96861,1.1094,
4.2,0.032072,0.73358,0.57322,1.0401,1.1799,
4.4,0.031866,0.73333,0.57399,1.1135,1.2516,
4.6,0.03165,0.73311,0.57486,1.1888,1.3246,
4.8,0.031421,0.73292,0.57582,1.2657,1.3987,
5,0.031178,0.73276,0.57687,1.3444,1.4741,
5.2,0.03092,0.73263,0.57803,1.4248,1.5506,
5.4,0.030647,0.73252,0.57929,1.5067,1.6283,
5.6,0.030357,0.73244,0.58065,1.5902,1.7071,
5.8,0.03005,0.73238,0.58213,1.6752,1.7869,
6,0.029724,0.73233,0.58371,1.7616,1.8679,
6.2,0.02938,0.73231,0.58541,1.8494,1.9499,
6.4,0.029016,0.73229,0.58721,1.9385,2.0329,
6.6,0.028633,0.73229,0.58913,2.0288,2.1169,
6.8,0.028229,0.7323,0.59115,2.1203,2.202,
7,0.027806,0.73231,0.59328,2.213,2.288,
7.2,0.027362,0.73233,0.59552,2.3068,2.375,
7.4,0.026898,0.73235,0.59786,2.4016,2.4629,
7.6,0.026414,0.73237,0.6003,2.4975,2.5517,
7.8,0.02591,0.73239,0.60284,2.5942,2.6414,
8,0.025387,0.7324,0.60547,2.6918,2.732,
8.2,0.024846,0.73241,0.60818,2.7903,2.8235,
8.4,0.024286,0.73241,0.61098,2.8896,2.9159,
8.6,0.023709,0.73239,0.61385,2.9896,3.0091,
8.8,0.023115,0.73237,0.61679,3.0903,3.1031,
9,0.022506,0.73233,0.6198,3.1917,3.1979,
9.2,0.021882,0.73227,0.62286,3.2937,3.2935,
9.4,0.021244,0.7322,0.62598,3.3962,3.3899,
9.6,0.020594,0.7321,0.62913,3.4993,3.4871,
9.8,0.019932,0.73199,0.63233,3.6029,3.585,
10,0.01926,0.73185,0.63555,3.707,3.6837,
10.2,0.018579,0.73169,0.6388,3.8115,3.783,
10.4,0.01789,0.73151,0.64206,3.9164,3.8831,
10.6,0.017194,0.7313,0.64533,4.0217,3.9839,
10.8,0.016492,0.73106,0.6486,4.1273,4.0853,
11,0.015786,0.7308,0.65187,4.2332,4.1874,
11.2,0.015077,0.73051,0.65513,4.3394,4.2901,
11.4,0.014365,0.7302,0.65837,4.4459,4.3934,
11.6,0.013653,0.72985,0.66159,4.5526,4.4974,
11.8,0.01294,0.72947,0.66477,4.6595,4.6019,
12,0.012228,0.72907,0.66793,4.7666,4.7071,
12.2,0.011518,0.72864,0.67105,4.8739,4.8128,
12.4,0.010811,0.72818,0.67412,4.9814,4.919,
12.6,0.010108,0.72769,0.67715,5.0889,5.0258,
12.8,0.0094082,0.72717,0.68012,5.1967,5.1331,
13,0.0087138,0.72662,0.68305,5.3045,5.2408,
13.2,0.0080251,0.72604,0.68591,5.4124,5.3491,
13.4,0.0073426,0.72543,0.68872,5.5205,5.4578,
13.6,0.0066666,0.7248,0.69147,5.6286,5.567,
13.8,0.0059979,0.72414,0.69415,5.7367,5.6767,
14,0.0053317,0.72342,0.69677,5.845,5.7867,

