"t","u","wt1","wt2","wt3","r","y","em_x","em_y",
0,-0.7854,0.69999,0.00099971,1,-0.83512,-0.09698,0,0,
0.2,-0.52643,0.69999,0.00099971,1,-0.83998,-0.096988,0.039141,0.029209,
0.4,-0.53078,0.69999,0.00099971,1,-0.84505,-0.097077,0.081265,0.058128,
0.6,-0.53492,0.69999,0.00099971,1,-0.85031,-0.097419,0.12637,0.086755,
0.8,-0.53852,0.69999,0.00099971,1,-0.85578,-0.09832,0.17443,0.11509,
1,-0.54114,0.69999,0.00099971,1,-0.86144,-0.1002,0.22545,0.14311,
1.2,-0.5423,0.69999,0.00099971,1,-0.8673,-0.10361,0.27941,0.1708,
1.4,-0.54143,0.69999,0.00099971,1,-0.87335,-0.10918,0.33626,0.19811,
1.6,-0.53791,0.69999,0.00099971,1,-0.87959,-0.11764,0.39598,0.22495,
1.8,-0.53112,0.69999,0.00099971,1,-0.886,-0.1298,0.45853,0.25121,
2,-0.52042,0.69999,0.00099971,1,-0.89256,-0.14649,0.52385,0.27673,
2.2,-0.50524,0.69999,0.00099971,1,-0.89926,-0.1685,0.59186,0.30127,
2.4,-0.4851,0.69999,0.00099971,1,-0.90607,-0.19658,0.66246,0.32455,
2.6,-0.45927,0.69999,0.00099971,1,-0.91296,-0.23133,0.73551,0.34623,
2.8,-0.42787,0.69999,0.00099971,1,-0.91989,-0.27312,0.81084,0.36589,
3,-0.39137,0.69999,0.00099971,1,-0.92681,-0.32202,0.88822,0.38307,
3.2,-0.35026,0.69999,0.00099971,1,-0.93366,-0.37774,0.96733,0.39731,
3.4,-0.30535,0.69999,0.00099971,1,-0.94039,-0.43963,1.0478,0.40813,
3.6,-0.25766,0.69999,0.00099971,1,-0.94693,-0.50668,1.1292,0.41509,
3.8,-0.20833,0.69999,0.00099971,1,-0.95322,-0.57758,1.211,0.41783,
4,-0.15851,0.69999,0.00099971,1,-0.9592,-0.65088,1.2928,0.41609,
4.2,-0.10919,0.69999,0.00099971,1,-0.96483,-0.72512,1.3739,0.40971,
4.4,-0.06108,0.69999,0.00099971,1,-0.97007,-0.79901,1.4538,0.39865,
4.6,-0.014571,0.69999,0.00099971,1,-0.97487,-0.87155,1.5322,0.38297,
4.8,0.030358,0.69999,0.00099971,1,-0.97922,-0.94219,1.6086,0.3628,
5,0.073945,0.69999,0.00099971,1,-0.98311,-1.0107,1.6826,0.33834,
5.2,0.11589,0.69999,0.00099971,1,-0.98652,-1.0767,1.7539,0.30981,
5.4,0.15506,0.69999,0.00099971,1,-0.98945,-1.1394,1.8222,0.27747,
5.6,0.18998,0.69999,0.00099971,1,-0.99192,-1.1975,1.8876,0.24164,
5.8,0.21898,0.69999,0.00099971,1,-0.99395,-1.2491,1.9499,0.20265,
6,0.24048,0.69999,0.00099971,1,-0.99558,-1.2924,2.0095,0.16086,
6.2,0.25319,0.69999,0.00099971,1,-0.99688,-1.3255,2.0668,0.11661,
6.4,0.25644,0.69999,0.00099971,1,-0.99791,-1.347,2.1225,0.070234,
6.6,0.25024,0.69999,0.00099971,1,-0.99875,-1.3559,2.1773,0.022019,
6.8,0.23536,0.69999,0.00099971,1,-0.99949,-1.3525,2.2323,-0.027758,
7,0.21318,0.69999,0.00099971,1,-1.0002,-1.3376,2.2883,-0.078828,
7.2,0.18549,0.69999,0.00099971,1,-1.001,-1.3127,2.3464,-0.13091,
7.4,0.15421,0.69999,0.00099971,1,-1.002,-1.28,2.4071,-0.1837,
7.6,0.12108,0.69999,0.00099971,1,-1.0032,-1.2417,2.4711,-0.23689,
7.8,0.087551,0.69999,0.00099971,1,-1.0047,-1.2001,2.5389,-0.29015,
8,0.05458,0.69999,0.00099971,1,-1.0065,-1.1571,2.6107,-0.34321,
8.2,0.022677,0.69999,0.00099971,1,-1.0086,-1.1141,2.6864,-0.39579,
8.4,-0.0080686,0.69999,0.00099971,1,-1.0111,-1.0718,2.7661,-0.44769,
8.6,-0.03792,0.69999,0.00099971,1,-1.0139,-1.0308,2.8498,-0.49871,
8.8,-0.066847,0.69999,0.00099971,1,-1.0171,-0.99116,2.9372,-0.5487,
9,-0.094095,0.69999,0.00099971,1,-1.0206,-0.95352,3.0282,-0.59753,
9.2,-0.11853,0.69999,0.00099971,1,-1.0244,-0.91886,3.1225,-0.64516,
9.4,-0.13889,0.69999,0.00099971,1,-1.0286,-0.88848,3.2199,-0.69162,
9.6,-0.15402,0.69999,0.00099971,1,-1.0331,-0.8638,3.32,-0.73708,
9.8,-0.16304,0.69999,0.00099971,1,-1.0377,-0.84614,3.4222,-0.78184,
10,-0.16557,0.69999,0.00099971,1,-1.0426,-0.83645,3.5259,-0.8263,
10.2,-0.16177,0.69999,0.00099971,1,-1.0474,-0.83514,3.6306,-0.87098,
10.4,-0.15231,0.69999,0.00099971,1,-1.0523,-0.84205,3.7355,-0.91639,
10.6,-0.13824,0.69999,0.00099971,1,-1.057,-0.85639,3.8401,-0.96305,
10.8,-0.1208,0.69999,0.00099971,1,-1.0616,-0.87696,3.9438,-1.0114,
11,-0.10122,0.69999,0.00099971,1,-1.0659,-0.90232,4.0461,-1.0617,
11.2,-0.080562,0.69999,0.00099971,1,-1.0699,-0.93096,4.1466,-1.1143,
11.4,-0.059658,0.69999,0.00099971,1,-1.0736,-0.96151,4.245,-1.1692,
11.6,-0.03907,0.69999,0.00099971,1,-1.077,-0.99284,4.341,-1.2263,
11.8,-0.019105,0.69999,0.00099971,1,-1.08,-1.0241,4.4346,-1.2857,
12,0.00017732,0.69999,0.00099971,1,-1.0828,-1.0548,4.5256,-1.3473,
12.2,0.018873,0.69999,0.00099971,1,-1.0851,-1.0846,4.6142,-1.4108,
12.4,0.037055,0.69999,0.00099971,1,-1.0872,-1.1134,4.7002,-1.4762,
12.6,0.054442,0.69999,0.00099971,1,-1.0889,-1.1412,4.7836,-1.5434,
12.8,0.070499,0.69999,0.00099971,1,-1.0904,-1.1673,4.8647,-1.6121,
13,0.084623,0.69999,0.00099971,1,-1.0915,-1.1912,4.9434,-1.6823,
13.2,0.096191,0.69999,0.00099971,1,-1.0924,-1.2123,5.02,-1.7537,
13.4,0.10468,0.69999,0.00099971,1,-1.0931,-1.2297,5.0947,-1.8262,
13.6,0.10975,0.69999,0.00099971,1,-1.0937,-1.243,5.168,-1.8996,
13.8,0.11124,0.69999,0.00099971,1,-1.0941,-1.2517,5.2403,-1.9736,
14,0.10929,0.69999,0.00099971,1,-1.0944,-1.2556,5.312,-2.0482,
14.2,0.10422,0.69999,0.00099971,1,-1.0947,-1.255,5.3837,-2.1232,
14.4,0.096538,0.69999,0.00099971,1,-1.095,-1.2501,5.4557,-2.1983,
14.6,0.086818,0.69999,0.00099971,1,-1.0954,-1.2416,5.5285,-2.2734,
