"t","u","wt1","wt2","wt3","r","y","em_x","em_y",
0,-0.11072,0.69999,0.00099971,1,-0.83512,-0.09698,0,0,
0.2,-0.11145,0.69999,0.00099971,1,-0.83998,-0.09698,0.039141,0.029209,
0.4,-0.11221,0.69999,0.00099971,1,-0.84505,-0.096984,0.081265,0.058128,
0.6,-0.113,0.69999,0.00099971,1,-0.85031,-0.097003,0.12637,0.086757,
0.8,-0.11381,0.69999,0.00099971,1,-0.85578,-0.097053,0.17444,0.1151,
1,-0.11464,0.69999,0.00099971,1,-0.86145,-0.097159,0.22546,0.14315,
1.2,-0.11549,0.69999,0.00099971,1,-0.86731,-0.097351,0.27942,0.17091,
1.4,-0.11636,0.69999,0.00099971,1,-0.87338,-0.097668,0.33629,0.19839,
1.6,-0.11722,0.69999,0.00099971,1,-0.87964,-0.098155,0.39605,0.22557,
1.8,-0.11808,0.69999,0.00099971,1,-0.88609,-0.098862,0.45867,0.25246,
2,-0.11893,0.69999,0.00099971,1,-0.89273,-0.099848,0.52411,0.27904,
2.2,-0.11976,0.69999,0.00099971,1,-0.89957,-0.10118,0.59234,0.30531,
2.4,-0.12055,0.69999,0.00099971,1,-0.90659,-0.10292,0.66332,0.33125,
2.6,-0.1213,0.69999,0.00099971,1,-0.91379,-0.10515,0.73701,0.35685,
2.8,-0.12198,0.69999,0.00099971,1,-0.92117,-0.10794,0.81335,0.38206,
3,-0.1226,0.69999,0.00099971,1,-0.92871,-0.11139,0.8923,0.40687,
3.2,-0.12313,0.69999,0.00099971,1,-0.93643,-0.11558,0.9738,0.43123,
3.4,-0.12355,0.69999,0.00099971,1,-0.9443,-0.1206,1.0578,0.45509,
3.6,-0.12387,0.69999,0.00099971,1,-0.95232,-0.12655,1.1442,0.47839,
3.8,-0.12405,0.69999,0.00099971,1,-0.96049,-0.13351,1.233,0.50105,
4,-0.12408,0.69999,0.00099971,1,-0.96878,-0.14157,1.3241,0.52301,
4.2,-0.12396,0.69999,0.00099971,1,-0.9772,-0.15083,1.4174,0.54418,
4.4,-0.12365,0.69999,0.00099971,1,-0.98573,-0.16137,1.5129,0.56443,
4.6,-0.12316,0.69999,0.00099971,1,-0.99436,-0.17327,1.6104,0.58368,
4.8,-0.12247,0.69999,0.00099971,1,-1.0031,-0.1866,1.71,0.60179,
5,-0.12156,0.69999,0.00099971,1,-1.0118,-0.20143,1.8113,0.61862,
5.2,-0.12043,0.69999,0.00099971,1,-1.0207,-0.2178,1.9145,0.63405,
5.4,-0.11907,0.69999,0.00099971,1,-1.0295,-0.23576,2.0193,0.64791,
5.6,-0.11746,0.69999,0.00099971,1,-1.0384,-0.25534,2.1257,0.66005,
