"t","u","r","y","em_x","em_y",
0,-0.010312,1.4192,1.488,0,0,
0.2,-0.009737,1.4231,1.488,0.03468,-0.026736,
0.4,-0.0091653,1.4269,1.488,0.069608,-0.050485,
0.6,-0.0085967,1.4307,1.488,0.10478,-0.071253,
0.8,-0.008031,1.4344,1.488,0.14021,-0.089049,
1,-0.0074683,1.4382,1.488,0.17587,-0.10389,
1.2,-0.0069086,1.4419,1.488,0.21179,-0.11579,
1.4,-0.0063518,1.4456,1.488,0.24794,-0.12477,
1.6,-0.0057978,1.4493,1.488,0.28433,-0.13086,
1.8,-0.0052467,1.453,1.488,0.32097,-0.13408,
2,-0.0046983,1.4566,1.488,0.35783,-0.13448,
2.2,-0.0041526,1.4603,1.488,0.39493,-0.13207,
2.4,-0.0036096,1.4639,1.488,0.43226,-0.12691,
2.6,-0.0030693,1.4675,1.488,0.46981,-0.11903,
2.8,-0.0025317,1.4711,1.4879,0.50759,-0.10848,
3,-0.0019966,1.4746,1.4879,0.54559,-0.095307,
3.2,-0.001464,1.4782,1.4879,0.58379,-0.079552,
3.4,-0.00093388,1.4817,1.4879,0.62221,-0.06127,
3.6,-0.00040625,1.4852,1.4879,0.66084,-0.040514,
3.8,0.00011895,1.4887,1.4879,0.69967,-0.017337,
4,0.00064184,1.4922,1.4879,0.73869,0.0082049,
4.2,0.0011624,1.4957,1.4879,0.7779,0.036055,
4.4,0.0016808,1.4991,1.4879,0.81731,0.066155,
4.6,0.002197,1.5025,1.4879,0.85689,0.098448,
4.8,0.0027111,1.506,1.4879,0.89665,0.13287,
5,0.003223,1.5094,1.4879,0.93659,0.16937,
5.2,0.0037327,1.5128,1.4879,0.97669,0.20789,
5.4,0.0042404,1.5162,1.4879,1.017,0.24835,
5.6,0.0047459,1.5195,1.4879,1.0574,0.29071,
5.8,0.0052493,1.5229,1.4879,1.0979,0.33491,
6,0.0057503,1.5262,1.4879,1.1387,0.38088,
6.2,0.0062489,1.5296,1.4879,1.1795,0.42857,
6.4,0.006745,1.5329,1.4879,1.2205,0.47792,
6.6,0.0072385,1.5362,1.488,1.2617,0.52887,
6.8,0.0077292,1.5395,1.488,1.3029,0.58137,
7,0.0082169,1.5428,1.4881,1.3443,0.63536,
7.2,0.0087015,1.5461,1.4881,1.3858,0.69078,
7.4,0.0091825,1.5494,1.4882,1.4274,0.74759,
7.6,0.00966,1.5527,1.4883,1.4691,0.80573,
7.8,0.010133,1.5559,1.4884,1.5109,0.86515,
8,0.010602,1.5592,1.4885,1.5528,0.92581,
