"t","u","wt1","wt2","wt3","r","y","em_x","em_y",
0,0.7854,0.70751,0.011857,0.78002,0.10244,-1.0329,0,0,
0.2,0.7854,0.70751,0.011857,0.78002,0.10422,-1.0328,-0.027288,-0.020687,
0.4,0.7854,0.70751,0.011857,0.78002,0.10627,-1.0328,-0.05304,-0.043949,
0.6,0.7854,0.70751,0.011857,0.78002,0.10859,-1.0326,-0.077258,-0.069779,
0.8,0.7854,0.70751,0.011857,0.78002,0.11118,-1.0321,-0.099945,-0.098167,
1,0.7854,0.70751,0.011857,0.78002,0.11404,-1.0313,-0.1211,-0.1291,
1.2,0.7854,0.70751,0.011857,0.78002,0.11717,-1.03,-0.14073,-0.16255,
1.4,0.7854,0.70751,0.011857,0.78002,0.12056,-1.0282,-0.15883,-0.1985,
1.6,0.7854,0.70751,0.011857,0.78002,0.12422,-1.0258,-0.17539,-0.23692,
1.8,0.7854,0.70751,0.011857,0.78002,0.12813,-1.0227,-0.19041,-0.27775,
2,0.7854,0.70751,0.011857,0.78002,0.13229,-1.0188,-0.20386,-0.32097,
2.2,0.7854,0.70751,0.011857,0.78002,0.1367,-1.014,-0.21574,-0.3665,
2.4,0.7854,0.70751,0.011857,0.78002,0.14135,-1.0082,-0.22601,-0.4143,
2.6,0.7854,0.70751,0.011857,0.78002,0.14624,-1.0014,-0.23463,-0.46428,
2.8,0.7854,0.70751,0.011857,0.78002,0.15136,-0.99354,-0.24158,-0.51637,
3,0.7854,0.70751,0.011857,0.78002,0.15669,-0.98451,-0.24681,-0.57049,
3.2,0.7854,0.70751,0.011857,0.78002,0.16224,-0.97428,-0.25026,-0.62653,
3.4,0.7854,0.70751,0.011857,0.78002,0.16799,-0.96278,-0.25188,-0.68439,
3.6,0.7854,0.70751,0.011857,0.78002,0.17393,-0.94999,-0.2516,-0.74396,
3.8,0.7854,0.70751,0.011857,0.78002,0.18006,-0.93585,-0.24936,-0.8051,
4,0.7854,0.70751,0.011857,0.78002,0.18635,-0.92033,-0.24508,-0.8677,
4.2,0.7854,0.70751,0.011857,0.78002,0.19279,-0.90341,-0.23868,-0.93159,
4.4,0.7854,0.70751,0.011857,0.78002,0.19938,-0.88505,-0.23009,-0.99663,
4.6,0.7854,0.70751,0.011857,0.78002,0.20609,-0.86524,-0.21923,-1.0627,
4.8,0.7854,0.70751,0.011857,0.78002,0.21291,-0.84396,-0.20601,-1.1295,
5,0.7854,0.70751,0.011857,0.78002,0.21983,-0.8212,-0.19036,-1.1969,
5.2,0.7854,0.70751,0.011857,0.78002,0.22682,-0.79697,-0.1722,-1.2648,
5.4,0.7854,0.70751,0.011857,0.78002,0.23386,-0.77125,-0.15145,-1.3329,
5.6,0.7854,0.70751,0.011857,0.78002,0.24093,-0.74404,-0.12806,-1.401,
5.8,0.78334,0.70751,0.011857,0.78002,0.24802,-0.71536,-0.10195,-1.4688,
6,0.76592,0.70751,0.011857,0.78002,0.2551,-0.68526,-0.073074,-1.5362,
6.2,0.74795,0.70751,0.011857,0.78002,0.26214,-0.65406,-0.041404,-1.6029,
6.4,0.72958,0.70751,0.011857,0.78002,0.26913,-0.62205,-0.006933,-1.6686,
6.6,0.71082,0.70751,0.011857,0.78002,0.27604,-0.58941,0.030326,-1.7333,
6.8,0.69174,0.70751,0.011857,0.78002,0.28285,-0.55628,0.070342,-1.7966,
7,0.67246,0.70751,0.011857,0.78002,0.28955,-0.52282,0.11306,-1.8584,
7.2,0.65306,0.70751,0.011857,0.78002,0.29611,-0.48919,0.15843,-1.9184,
7.4,0.63365,0.70751,0.011857,0.78002,0.30251,-0.45554,0.20636,-1.9767,
7.6,0.61431,0.70751,0.011857,0.78002,0.30875,-0.42202,0.25676,-2.0329,
