"t","u","wt1","wt2","wt3","r","y","em_x","em_y",
0,-9.225e-05,0.72538,0.015748,0.5677,2.6621,2.6622,0,0,
0.2,0.0036096,0.72538,0.015748,0.5677,2.6649,2.6622,-0.002937,0.03307,
0.4,0.0057267,0.72538,0.015748,0.5677,2.6677,2.6622,-0.0085338,0.067522,
0.6,0.0078878,0.72538,0.015748,0.5677,2.6705,2.6622,-0.016785,0.10335,
0.8,0.010093,0.72538,0.015748,0.5677,2.6733,2.6622,-0.027682,0.14056,
1,0.012342,0.72538,0.015748,0.5677,2.6761,2.6622,-0.041211,0.17914,
1.2,0.014635,0.72538,0.015748,0.5677,2.6789,2.6622,-0.057358,0.21907,
1.4,0.016972,0.72538,0.015748,0.5677,2.6817,2.6622,-0.076103,0.26036,
1.6,0.019352,0.72538,0.015748,0.5677,2.6845,2.6622,-0.097423,0.30298,
1.8,0.021775,0.72538,0.015748,0.5677,2.6873,2.6622,-0.12129,0.34694,
2,0.024241,0.72538,0.015748,0.5677,2.6901,2.6622,-0.14768,0.3922,
2.2,0.026749,0.72538,0.015748,0.5677,2.6929,2.6622,-0.17657,0.43875,
2.4,0.029297,0.72538,0.015748,0.5677,2.6957,2.6622,-0.2079,0.48658,
2.6,0.031886,0.72538,0.015748,0.5677,2.6985,2.6623,-0.24166,0.53567,
2.8,0.034514,0.72538,0.015748,0.5677,2.7013,2.6623,-0.27779,0.586,
3,0.037179,0.72538,0.015748,0.5677,2.7041,2.6623,-0.31627,0.63753,
3.2,0.039881,0.72538,0.015748,0.5677,2.7069,2.6623,-0.35704,0.69027,
3.4,0.042616,0.72538,0.015748,0.5677,2.7097,2.6624,-0.40006,0.74416,
3.6,0.045384,0.72538,0.015748,0.5677,2.7125,2.6625,-0.44529,0.7992,
3.8,0.048182,0.72538,0.015748,0.5677,2.7153,2.6625,-0.49267,0.85536,
4,0.051006,0.72538,0.015748,0.5677,2.7181,2.6626,-0.54216,0.91261,
4.2,0.053856,0.72538,0.015748,0.5677,2.7209,2.6628,-0.59371,0.97092,
4.4,0.056727,0.72538,0.015748,0.5677,2.7237,2.6629,-0.64727,1.0303,
4.6,0.059616,0.72538,0.015748,0.5677,2.7265,2.6631,-0.70278,1.0906,
4.8,0.06252,0.72538,0.015748,0.5677,2.7293,2.6633,-0.7602,1.1519,
5,0.065434,0.72538,0.015748,0.5677,2.7321,2.6635,-0.81948,1.2142,
5.2,0.068354,0.72538,0.015748,0.5677,2.7349,2.6638,-0.88055,1.2774,
5.4,0.071279,0.72538,0.015748,0.5677,2.7377,2.6641,-0.94338,1.3414,
5.6,0.0742,0.72538,0.015748,0.5677,2.7405,2.6645,-1.0079,1.4064,
5.8,0.077115,0.72538,0.015748,0.5677,2.7433,2.6649,-1.0741,1.4721,
6,0.080018,0.72538,0.015748,0.5677,2.7461,2.6654,-1.1418,1.5386,
6.2,0.082906,0.72538,0.015748,0.5677,2.7489,2.666,-1.2112,1.6059,
6.4,0.08577,0.72538,0.015748,0.5677,2.7516,2.6666,-1.282,1.6739,
6.6,0.08861,0.72538,0.015748,0.5677,2.7544,2.6673,-1.3543,1.7426,
6.8,0.091416,0.72538,0.015748,0.5677,2.7572,2.668,-1.428,1.812,
7,0.094188,0.72538,0.015748,0.5677,2.7599,2.6689,-1.503,1.8819,
7.2,0.096916,0.72538,0.015748,0.5677,2.7627,2.6698,-1.5794,1.9525,
7.4,0.099598,0.72538,0.015748,0.5677,2.7654,2.6708,-1.657,2.0236,
7.6,0.10223,0.72538,0.015748,0.5677,2.7682,2.672,-1.7359,2.0953,
7.8,0.1048,0.72538,0.015748,0.5677,2.7709,2.6732,-1.8159,2.1674,
8,0.10731,0.72538,0.015748,0.5677,2.7736,2.6745,-1.8971,2.24,
8.2,0.10976,0.72538,0.015748,0.5677,2.7763,2.6759,-1.9795,2.313,
8.4,0.11214,0.72538,0.015748,0.5677,2.779,2.6774,-2.0629,2.3864,
8.6,0.11444,0.72538,0.015748,0.5677,2.7817,2.679,-2.1473,2.4602,
8.8,0.11666,0.72538,0.015748,0.5677,2.7843,2.6808,-2.2328,2.5343,
9,0.11881,0.72538,0.015748,0.5677,2.7869,2.6826,-2.3192,2.6087,
9.2,0.12086,0.72538,0.015748,0.5677,2.7896,2.6846,-2.4066,2.6833,
9.4,0.12284,0.72538,0.015748,0.5677,2.7922,2.6866,-2.4949,2.7582,
9.6,0.12472,0.72538,0.015748,0.5677,2.7947,2.6888,-2.584,2.8333,
9.8,0.12651,0.72538,0.015748,0.5677,2.7973,2.6911,-2.674,2.9086,
10,0.12821,0.72538,0.015748,0.5677,2.7998,2.6935,-2.7649,2.984,
10.2,0.12981,0.72538,0.015748,0.5677,2.8023,2.696,-2.8566,3.0595,
10.4,0.13132,0.72538,0.015748,0.5677,2.8048,2.6986,-2.949,3.1351,
10.6,0.13273,0.72538,0.015748,0.5677,2.8072,2.7013,-3.0422,3.2108,
10.8,0.13404,0.72538,0.015748,0.5677,2.8096,2.7041,-3.1361,3.2865,
11,0.13525,0.72538,0.015748,0.5677,2.812,2.707,-3.2307,3.3623,
11.2,0.13637,0.72538,0.015748,0.5677,2.8143,2.7099,-3.326,3.438,
11.4,0.13739,0.72538,0.015748,0.5677,2.8167,2.713,-3.422,3.5137,
11.6,0.13831,0.72538,0.015748,0.5677,2.8189,2.7161,-3.5186,3.5893,
11.8,0.13913,0.72538,0.015748,0.5677,2.8212,2.7194,-3.6159,3.6648,
12,0.13986,0.72538,0.015748,0.5677,2.8234,2.7227,-3.7137,3.7402,
12.2,0.1405,0.72538,0.015748,0.5677,2.8256,2.726,-3.8122,3.8155,
12.4,0.14105,0.72538,0.015748,0.5677,2.8277,2.7295,-3.9112,3.8907,
