"t","u","wt1","wt2","wt3","r","y","em_x","em_y",
0,-0.027574,0.76776,0.022502,0.50539,1.2761,1.414,0,0,
0.2,-0.02725,0.76776,0.022502,0.50539,1.2777,1.414,0.017918,0.003281,
0.4,-0.026935,0.76776,0.022502,0.50539,1.2793,1.414,0.036304,0.0095229,
0.6,-0.026627,0.76776,0.022502,0.50539,1.2808,1.414,0.055158,0.01872,
0.8,-0.026328,0.76776,0.022502,0.50539,1.2823,1.414,0.074477,0.030861,
1,-0.026037,0.76776,0.022502,0.50539,1.2838,1.414,0.09426,0.045934,
1.2,-0.025753,0.76776,0.022502,0.50539,1.2852,1.414,0.1145,0.06392,
1.4,-0.025478,0.76776,0.022502,0.50539,1.2866,1.414,0.1352,0.084799,
1.6,-0.02521,0.76776,0.022502,0.50539,1.2879,1.4139,0.15636,0.10854,
1.8,-0.02495,0.76776,0.022502,0.50539,1.2892,1.4139,0.17796,0.13513,
2,-0.024697,0.76776,0.022502,0.50539,1.2904,1.4139,0.20001,0.16452,
2.2,-0.024452,0.76776,0.022502,0.50539,1.2917,1.4139,0.2225,0.19668,
2.4,-0.024214,0.76776,0.022502,0.50539,1.2928,1.4139,0.24541,0.23157,
2.6,-0.023983,0.76776,0.022502,0.50539,1.294,1.4139,0.26876,0.26916,
2.8,-0.02376,0.76776,0.022502,0.50539,1.2951,1.4139,0.29252,0.3094,
3,-0.023543,0.76776,0.022502,0.50539,1.2962,1.4139,0.3167,0.35224,
3.2,-0.023333,0.76776,0.022502,0.50539,1.2972,1.4139,0.34128,0.39763,
3.4,-0.023129,0.76776,0.022502,0.50539,1.2982,1.4138,0.36626,0.44553,
3.6,-0.022932,0.76776,0.022502,0.50539,1.2992,1.4138,0.39163,0.49588,
3.8,-0.022742,0.76776,0.022502,0.50539,1.3001,1.4138,0.41738,0.54863,
4,-0.022557,0.76776,0.022502,0.50539,1.301,1.4138,0.4435,0.60373,
4.2,-0.022379,0.76776,0.022502,0.50539,1.3019,1.4138,0.46998,0.66111,
4.4,-0.022206,0.76776,0.022502,0.50539,1.3027,1.4137,0.49682,0.72072,
4.6,-0.022039,0.76776,0.022502,0.50539,1.3035,1.4137,0.52401,0.78251,
4.8,-0.021878,0.76776,0.022502,0.50539,1.3043,1.4137,0.55153,0.8464,
